psp_reference,merchant_account,transaction_date,invoice_number,dealership_name,mid,category,subcategory,payment_method,entry_mode,payment_product,amount,gross_amount,commission,net_amount,currency,payment_currency,settlement_currency,exchange_rate,status
PSP8273736575,AutoNationUS,2025-06-04,SWa-1002-6348,AutoNation Toyota Austin,MID1002,Services,Warranty,MOTO,POS,discover,4869.09,4869.09,3.01,4866.08,USD,USD,USD,1.0,Refunded
PSP3604018931,AutoNationUS,2025-06-15,PEl-1002-8753,AutoNation Toyota Austin,MID1002,Parts,Electrical,MOTO,POS,discover,5256.47,5256.47,2.98,5253.49,USD,USD,USD,1.0,Settled
PSP6482265475,AutoNationUS,2025-06-28,SUs-1002-6102,AutoNation Toyota Austin,MID1002,Sales,Used Cars,Card,MOTO,visa,2165.01,2165.01,2.29,2162.72,USD,USD,USD,1.0,Refunded
PSP8763817590,AutoNationUS,2025-06-08,SUs-1001-8274,AutoNation Ford Miami,MID1001,Sales,Used Cars,Card,MOTO,visa,4358.75,4358.75,2.38,4356.37,USD,USD,USD,1.0,Settled
PSP7436774874,AutoNationUS,2025-06-21,PTr-1002-4076,AutoNation Toyota Austin,MID1002,Parts,Transmission,Card,MOTO,visa,7175.65,7175.65,2.4,7173.25,USD,USD,USD,1.0,Refunded
PSP7623705045,AutoNationUS,2025-06-12,SWa-1004-6799,AutoNation Honda Phoenix,MID1004,Services,Warranty,MOTO,POS,discover,8187.69,8187.69,1.48,8186.21,USD,USD,USD,1.0,Pending
PSP6494608382,AutoNationUS,2025-06-08,SUs-1003-9307,AutoNation Mercedes Dallas,MID1003,Sales,Used Cars,MOTO,POS,mc,7962.32,7962.32,3.28,7959.04,USD,USD,USD,1.0,Settled
PSP3562911709,AutoNationUS,2025-06-08,SWa-1002-4561,AutoNation Toyota Austin,MID1002,Services,Warranty,MOTO,MOTO,discover,9723.52,9723.52,2.36,9721.16,USD,USD,USD,1.0,Settled
PSP7359879159,AutoNationUS,2025-06-18,PEl-1002-5447,AutoNation Toyota Austin,MID1002,Parts,Electrical,MOTO,MOTO,visa,9489.39,9489.39,1.74,9487.65,USD,USD,USD,1.0,Refunded
PSP4692126272,AutoNationUS,2025-06-19,PEn-1004-7842,AutoNation Honda Phoenix,MID1004,Parts,Engine,MOTO,POS,discover,4585.45,4585.45,2.68,4582.77,USD,USD,USD,1.0,Refunded
PSP9275810171,AutoNationUS,2025-06-23,PTr-1001-5435,AutoNation Ford Miami,MID1001,Parts,Transmission,Card,POS,mc,888.22,888.22,3.26,884.96,USD,USD,USD,1.0,Settled
PSP9453458163,AutoNationUS,2025-06-04,PTr-1003-2522,AutoNation Mercedes Dallas,MID1003,Parts,Transmission,Card,MOTO,discover,3772.52,3772.52,3.36,3769.16,USD,USD,USD,1.0,Pending
PSP7874883473,AutoNationUS,2025-06-17,SNo-1002-5891,AutoNation Toyota Austin,MID1002,Services,Non-Warranty,MOTO,MOTO,visa,2161.11,2161.11,2.85,2158.26,USD,USD,USD,1.0,Pending
PSP6864920174,AutoNationUS,2025-06-30,SNo-1005-5703,AutoNation BMW Seattle,MID1005,Services,Non-Warranty,Card,MOTO,amex,4343.64,4343.64,3.47,4340.17,USD,USD,USD,1.0,Refunded
PSP4878387318,AutoNationUS,2025-06-06,PEl-1003-4453,AutoNation Mercedes Dallas,MID1003,Parts,Electrical,MOTO,MOTO,mc,9786.28,9786.28,1.98,9784.3,USD,USD,USD,1.0,Pending
PSP4871822150,AutoNationUS,2025-06-08,PEl-1001-3523,AutoNation Ford Miami,MID1001,Parts,Electrical,MOTO,MOTO,mc,6032.46,6032.46,2.99,6029.47,USD,USD,USD,1.0,Settled
PSP3263585977,AutoNationUS,2025-07-03,PEn-1005-1719,AutoNation BMW Seattle,MID1005,Parts,Engine,MOTO,MOTO,discover,2799.94,2799.94,2.68,2797.26,USD,USD,USD,1.0,Pending
PSP3662214741,AutoNationUS,2025-06-09,SNe-1002-2558,AutoNation Toyota Austin,MID1002,Sales,New Cars,MOTO,POS,amex,7869.13,7869.13,1.07,7868.06,USD,USD,USD,1.0,Pending
PSP3072482721,AutoNationUS,2025-07-01,PEl-1003-8569,AutoNation Mercedes Dallas,MID1003,Parts,Electrical,Card,MOTO,visa,2301.71,2301.71,2.96,2298.75,USD,USD,USD,1.0,Pending
PSP6561880279,AutoNationUS,2025-07-03,PTr-1002-8998,AutoNation Toyota Austin,MID1002,Parts,Transmission,Card,POS,mc,4524.64,4524.64,1.04,4523.6,USD,USD,USD,1.0,Settled
PSP4613331476,AutoNationUS,2025-06-11,SNo-1004-6801,AutoNation Honda Phoenix,MID1004,Services,Non-Warranty,MOTO,POS,mc,2221.56,2221.56,2.78,2218.78,USD,USD,USD,1.0,Pending
PSP6284966812,AutoNationUS,2025-06-19,SMa-1004-7921,AutoNation Honda Phoenix,MID1004,Services,Maintenance,MOTO,POS,amex,250.39,250.39,1.03,249.36,USD,USD,USD,1.0,Settled
PSP3375110689,AutoNationUS,2025-06-06,SUs-1005-7399,AutoNation BMW Seattle,MID1005,Sales,Used Cars,MOTO,MOTO,visa,4612.36,4612.36,2.74,4609.62,USD,USD,USD,1.0,Pending
PSP6481902799,AutoNationUS,2025-06-30,SNo-1005-5011,AutoNation BMW Seattle,MID1005,Services,Non-Warranty,Card,MOTO,discover,5623.27,5623.27,3.34,5619.93,USD,USD,USD,1.0,Refunded
PSP3901652133,AutoNationUS,2025-06-05,SMa-1003-7855,AutoNation Mercedes Dallas,MID1003,Services,Maintenance,Card,POS,mc,6260.91,6260.91,1.91,6259.0,USD,USD,USD,1.0,Pending
